n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
11,1.3112540826507812,1.9908301751204553,2.4202197610284286,STATIC,3631.0441023561493,NA,NA,"[0.0, 2.424017421107097]",-0.05453687320061534,0.75,-12.575982578892903,True
59,1.3866177501917316,1.5172644976339251,2.0077205336146973,ADAPTIVE,NA,0.5110889894187205,1.1133650467827638,"[1.2760442132157956, 0.1693821646470417]",-0.6062451200427809,0.5338608689801774,-13.554573622137163,True
10,1.365042009743963,1.5810911588679482,2.027345901842545,STATIC,7975.396150381983,NA,NA,"[0.0, 0.0]",nan,0.75,-15.0,True
60,0.4,1.7715075726675928,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5976796458207323, 0.46094014650060877]",-0.37223243832557223,0.013565309994350905,-12.941380207678659,True
59,1.3464183477932523,1.946819032657179,2.098695674204134,STATIC,9977.424176539651,NA,NA,"[0.0, 1.1499652636776807]",-0.4267830585307828,0.75,-13.85003473632232,True
11,1.3157951157978527,1.7745575384133196,2.017237213498354,ADAPTIVE,NA,0.5005543040768071,1.331473947661107,"[1.658532804204934, 0.35915549151278925]",-0.4351412232204472,0.1543288355156922,-12.982311704282276,True
60,1.4,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.13468545580101, 0.2772855511755701]",-0.46433548819334325,0.435368117977314,-13.58802899302342,True
59,0.42928703389450096,1.892095994119329,2.250751032204766,STATIC,8834.30821008021,NA,NA,"[1.6004683255770276, 0.468593921492248]",-0.36499572084702264,3.0271093728773124e-05,-12.930937752930724,True
60,0.9344958392515224,1.5,2.5,ADAPTIVE,NA,0.5,1.0,"[1.3328913123307995, 0.33737277335490923]",-0.4923656710702359,0.30031876137829366,-13.329735914314291,True
60,0.9138118677506842,2.0,2.5,ADAPTIVE,NA,0.5,1.0,"[0.0, 0.20021515347738317]",-0.005525278465584474,0.75,-14.799784846522616,True
60,0.4,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.581541077512738, 0.326398457442052]",-0.48845944845451944,0.23378743191860152,-13.09206046504521,True
60,0.4148657303651775,1.7233430446306082,2.2066318613091536,ADAPTIVE,NA,0.9656307383887986,1.9669956040834045,"[1.6036248866439449, 0.467585585970794]",-0.3650603672805034,0.00016811770124292025,-12.92878952738526,True
60,0.4,2.0,2.0,ADAPTIVE,NA,0.5,1.0,"[1.666119070829382, 0.2928148026237348]",-0.47983192319668794,0.262135673127454,-13.041066126546884,True
60,0.8785791464850099,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5025491171760974, 0.25444606458881136]",-0.5621929916113643,0.36768229028314925,-13.243004818235091,True
60,0.9024684145182588,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.354445903651198, 0.07656069316383518]",-0.6615067129682288,0.6463026827635472,-13.568993403184967,True
60,0.909782699078717,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5404113148784326, 0.21624742381809225]",-0.5783486704263751,0.4168900215372988,-13.243341261303476,True
60,0.9059659278448794,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.4165330037752744, 0.41490134774720855]",-0.4320472388251373,0.16227854760523697,-13.168565648477518,True
60,0.908218399299794,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[0.23832347230948292, 1.4363547745816685]",-0.41952803412893136,0.40768294265339217,-13.325321753108849,True
60,0.8681498565283512,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.6105882169910857, 0.26566150759146034]",-0.5223908764375438,0.32212870616510614,-13.123750275417454,True
60,0.8825531659045088,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.4160335068198626, 0.17165457117520155]",-0.6243001789133695,0.5069313756171197,-13.412311922004935,True
60,0.8930741039155321,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.4974043493522282, 0.11660096059789793]",-0.6389401837730597,0.5754012144620598,-13.385994690049873,True
60,0.8896989913587141,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.31552462198263, 0.11700582493881617]",-0.6419927091578863,0.5960759563775981,-13.567469553078555,True
60,0.9102951028928636,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.3675780382172043, 0.2901632868459858]",-0.5391782641856152,0.3531790614125108,-13.34225867493681,True
60,0.9235656819018739,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.2869220713042273, 0.39228305597063473]",-0.4290345961119845,0.24516227707271865,-13.320794872725138,True
60,0.8624018999894407,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.30125788200129, 0.23430223323615107]",-0.5704267890912036,0.44511237223095385,-13.464439884762559,True
60,0.8595811051726527,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.2788379826294094, 0.15970834846148696]",-0.6125084343048592,0.5457588978444372,-13.561453668909104,True
60,0.8743677769274013,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.545802734014381, 0.09785814279453908]",-0.6312965264688369,0.5987306153226318,-13.35633912319108,True
60,0.9016483029963126,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[0.10411134901879393, 1.4039979451104212]",-0.4650965514643856,0.6038278799149395,-13.491890705870786,True
60,0.7791454369508086,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5085603982270313, 0.025406668409214683]",-0.6567268119295527,0.711672506186973,-13.466032933363755,True
60,0.7493906104047772,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.5366955486758205, 0.23548413907805377]",-0.5672311185737958,0.38813257169499693,-13.227820312246125,True
18,1.295812955106907,1.5074709506870878,2.474950529786025,ADAPTIVE,NA,0.5178153711383734,1.3462356155785706,"[1.1924527605473323, 0.3716471210525507]",-0.4108168353964544,0.3068283645514173,-13.435900118400117,True
60,0.7137626821471101,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.4050083958232862, 0.06714114173457797]",-0.6657623670463856,0.6556661321577567,-13.527850462442135,True
60,1.0342381658480262,1.981203021623346,2.0440622911066026,ADAPTIVE,NA,0.5097816295518682,1.8753618479424687,"[1.4966809014719773, 0.2733946731940673]",-0.5494683482442786,0.34081541406626675,-13.229924425333955,True
